PID,RPp_SCORE,Badcase_dura_RPp,RPp_MISS,RPp_Prc1,RPp_Prc2,RPp_1,RPp_2,RPp_3,RPp_4,RPp_5,RPp_6,RPp_7,RPp_8,RPp_9,RPp_Prc1_RT,RPp_Prc2_RT,RPp_1_RT,RPp_2_RT,RPp_3_RT,RPp_4_RT,RPp_5_RT,RPp_6_RT,RPp_7_RT,RPp_8_RT,RPp_9_RT,RPp_Prc1_SelfOutcome,RPp_Prc2_SelfOutcome,RPp_1_SelfOutcome,RPp_2_SelfOutcome,RPp_3_SelfOutcome,RPp_4_SelfOutcome,RPp_5_SelfOutcome,RPp_6_SelfOutcome,RPp_7_SelfOutcome,RPp_8_SelfOutcome,RPp_9_SelfOutcome
100002.000000,    11.037097,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     1.000000,     1.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     2.094000,     1.758000,    27.533000,    29.314000,    36.992000,    38.588000,    40.624000,    42.152000,    43.498000,    45.310000,    47.923000,     8.000000,    15.000000,     8.000000,     8.000000,    10.000000,    10.000000,     8.000000,    15.000000,     8.000000,    15.000000,    15.000000
100004.000000,     7.509344,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     1.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     2.411000,     1.638000,     4.230000,     5.675000,     8.269000,     9.866000,    11.212000,    13.048000,    14.622000,    16.274000,    17.303000,    10.000000,    10.000000,    10.000000,    10.000000,     8.000000,    15.000000,     8.000000,    15.000000,     8.000000,    15.000000,    15.000000
100005.000000,    11.037097,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     1.000000,     1.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     2.094000,     1.758000,    27.533000,    29.314000,    36.992000,    38.588000,    40.624000,    42.152000,    43.498000,    45.310000,    47.923000,     8.000000,    15.000000,     8.000000,     8.000000,    10.000000,    10.000000,     8.000000,    15.000000,     8.000000,    15.000000,    15.000000
100006.000000,     7.509344,     0.000000,     0.000000,     1.000000,     1.000000,     1.000000,     1.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     2.411000,     1.638000,     4.230000,     5.675000,     8.269000,     9.866000,    11.212000,    13.048000,    14.622000,    16.274000,    17.303000,    10.000000,    10.000000,    10.000000,    10.000000,     8.000000,    15.000000,     8.000000,    15.000000,     8.000000,    15.000000,    15.000000
